date,date_time,code,state,population,cases,deaths
2020-01-22,2020-01-22,WY,Wyoming,577737.0,0.0,0.0
2020-01-23,2020-01-23,WY,Wyoming,577737.0,0.0,0.0
2020-01-24,2020-01-24,WY,Wyoming,577737.0,0.0,0.0
2020-01-25,2020-01-25,WY,Wyoming,577737.0,0.0,0.0
2020-01-26,2020-01-26,WY,Wyoming,577737.0,0.0,0.0
2020-01-27,2020-01-27,WY,Wyoming,577737.0,0.0,0.0
2020-01-28,2020-01-28,WY,Wyoming,577737.0,0.0,0.0
2020-01-29,2020-01-29,WY,Wyoming,577737.0,0.0,0.0
2020-01-30,2020-01-30,WY,Wyoming,577737.0,0.0,0.0
2020-01-31,2020-01-31,WY,Wyoming,577737.0,0.0,0.0
2020-02-01,2020-02-01,WY,Wyoming,577737.0,0.0,0.0
2020-02-02,2020-02-02,WY,Wyoming,577737.0,0.0,0.0
2020-02-03,2020-02-03,WY,Wyoming,577737.0,0.0,0.0
2020-02-04,2020-02-04,WY,Wyoming,577737.0,0.0,0.0
2020-02-05,2020-02-05,WY,Wyoming,577737.0,0.0,0.0
2020-02-06,2020-02-06,WY,Wyoming,577737.0,0.0,0.0
2020-02-07,2020-02-07,WY,Wyoming,577737.0,0.0,0.0
2020-02-08,2020-02-08,WY,Wyoming,577737.0,0.0,0.0
2020-02-09,2020-02-09,WY,Wyoming,577737.0,0.0,0.0
2020-02-10,2020-02-10,WY,Wyoming,577737.0,0.0,0.0
2020-02-11,2020-02-11,WY,Wyoming,577737.0,0.0,0.0
2020-02-12,2020-02-12,WY,Wyoming,577737.0,0.0,0.0
2020-02-13,2020-02-13,WY,Wyoming,577737.0,0.0,0.0
2020-02-14,2020-02-14,WY,Wyoming,577737.0,0.0,0.0
2020-02-15,2020-02-15,WY,Wyoming,577737.0,0.0,0.0
2020-02-16,2020-02-16,WY,Wyoming,577737.0,0.0,0.0
2020-02-17,2020-02-17,WY,Wyoming,577737.0,0.0,0.0
2020-02-18,2020-02-18,WY,Wyoming,577737.0,0.0,0.0
2020-02-19,2020-02-19,WY,Wyoming,577737.0,0.0,0.0
2020-02-20,2020-02-20,WY,Wyoming,577737.0,0.0,0.0
2020-02-21,2020-02-21,WY,Wyoming,577737.0,0.0,0.0
2020-02-22,2020-02-22,WY,Wyoming,577737.0,0.0,0.0
2020-02-23,2020-02-23,WY,Wyoming,577737.0,0.0,0.0
2020-02-24,2020-02-24,WY,Wyoming,577737.0,0.0,0.0
2020-02-25,2020-02-25,WY,Wyoming,577737.0,0.0,0.0
2020-02-26,2020-02-26,WY,Wyoming,577737.0,0.0,0.0
2020-02-27,2020-02-27,WY,Wyoming,577737.0,0.0,0.0
2020-02-28,2020-02-28,WY,Wyoming,577737.0,0.0,0.0
2020-02-29,2020-02-29,WY,Wyoming,577737.0,0.0,0.0
2020-03-01,2020-03-01,WY,Wyoming,577737.0,0.0,0.0
2020-03-02,2020-03-02,WY,Wyoming,577737.0,0.0,0.0
2020-03-03,2020-03-03,WY,Wyoming,577737.0,0.0,0.0
2020-03-04,2020-03-04,WY,Wyoming,577737.0,0.0,0.0
2020-03-05,2020-03-05,WY,Wyoming,577737.0,0.0,0.0
2020-03-06,2020-03-06,WY,Wyoming,577737.0,0.0,0.0
2020-03-07,2020-03-07,WY,Wyoming,577737.0,0.0,0.0
2020-03-08,2020-03-08,WY,Wyoming,577737.0,0.0,0.0
2020-03-09,2020-03-09,WY,Wyoming,577737.0,0.0,0.0
2020-03-10,2020-03-10,WY,Wyoming,577737.0,0.0,0.0
2020-03-11,2020-03-11,WY,Wyoming,577737.0,0.0,0.0
2020-03-12,2020-03-12,WY,Wyoming,577737.0,1.0,0.0
2020-03-13,2020-03-13,WY,Wyoming,577737.0,0.0,0.0
