,state,date,code,total_population,new_cases,new_deaths
0,Alabama,2020-01-22,AL,4887871.0,0.0,0.0
1,Alabama,2020-01-23,AL,4887871.0,0.0,0.0
2,Alabama,2020-01-24,AL,4887871.0,0.0,0.0
3,Alabama,2020-01-25,AL,4887871.0,0.0,0.0
4,Alabama,2020-01-26,AL,4887871.0,0.0,0.0
5,Alabama,2020-01-27,AL,4887871.0,0.0,0.0
6,Alabama,2020-01-28,AL,4887871.0,0.0,0.0
7,Alabama,2020-01-29,AL,4887871.0,0.0,0.0
8,Alabama,2020-01-30,AL,4887871.0,0.0,0.0
9,Alabama,2020-01-31,AL,4887871.0,0.0,0.0
10,Alabama,2020-02-01,AL,4887871.0,0.0,0.0
11,Alabama,2020-02-02,AL,4887871.0,0.0,0.0
12,Alabama,2020-02-03,AL,4887871.0,0.0,0.0
13,Alabama,2020-02-04,AL,4887871.0,0.0,0.0
14,Alabama,2020-02-05,AL,4887871.0,0.0,0.0
15,Alabama,2020-02-06,AL,4887871.0,0.0,0.0
16,Alabama,2020-02-07,AL,4887871.0,0.0,0.0
17,Alabama,2020-02-08,AL,4887871.0,0.0,0.0
18,Alabama,2020-02-09,AL,4887871.0,0.0,0.0
19,Alabama,2020-02-10,AL,4887871.0,0.0,0.0
20,Alabama,2020-02-11,AL,4887871.0,0.0,0.0
21,Alabama,2020-02-12,AL,4887871.0,0.0,0.0
22,Alabama,2020-02-13,AL,4887871.0,0.0,0.0
23,Alabama,2020-02-14,AL,4887871.0,0.0,0.0
24,Alabama,2020-02-15,AL,4887871.0,0.0,0.0
25,Alabama,2020-02-16,AL,4887871.0,0.0,0.0
26,Alabama,2020-02-17,AL,4887871.0,0.0,0.0
27,Alabama,2020-02-18,AL,4887871.0,0.0,0.0
28,Alabama,2020-02-19,AL,4887871.0,0.0,0.0
29,Alabama,2020-02-20,AL,4887871.0,0.0,0.0
30,Alabama,2020-02-21,AL,4887871.0,0.0,0.0
31,Alabama,2020-02-22,AL,4887871.0,0.0,0.0
32,Alabama,2020-02-23,AL,4887871.0,0.0,0.0
33,Alabama,2020-02-24,AL,4887871.0,0.0,0.0
34,Alabama,2020-02-25,AL,4887871.0,0.0,0.0
35,Alabama,2020-02-26,AL,4887871.0,0.0,0.0
36,Alabama,2020-02-27,AL,4887871.0,0.0,0.0
37,Alabama,2020-02-28,AL,4887871.0,0.0,0.0
38,Alabama,2020-02-29,AL,4887871.0,0.0,0.0
39,Alabama,2020-03-01,AL,4887871.0,0.0,0.0
40,Alabama,2020-03-02,AL,4887871.0,0.0,0.0
41,Alabama,2020-03-03,AL,4887871.0,0.0,0.0
42,Alabama,2020-03-04,AL,4887871.0,0.0,0.0
43,Alabama,2020-03-05,AL,4887871.0,0.0,0.0
44,Alabama,2020-03-06,AL,4887871.0,0.0,0.0
45,Alabama,2020-03-07,AL,4887871.0,0.0,0.0
46,Alabama,2020-03-08,AL,4887871.0,0.0,0.0
47,Alabama,2020-03-09,AL,4887871.0,0.0,0.0
48,Alabama,2020-03-10,AL,4887871.0,0.0,0.0
49,Alabama,2020-03-11,AL,4887871.0,3.0,0.0
50,Alabama,2020-03-12,AL,4887871.0,1.0,0.0
51,Alabama,2020-03-13,AL,4887871.0,4.0,0.0
52,Alabama,2020-03-14,AL,4887871.0,7.0,0.0
53,Alabama,2020-03-15,AL,4887871.0,13.0,0.0
54,Alabama,2020-03-16,AL,4887871.0,8.0,0.0
55,Alabama,2020-03-17,AL,4887871.0,15.0,0.0
56,Alabama,2020-03-18,AL,4887871.0,10.0,0.0
57,Alabama,2020-03-19,AL,4887871.0,27.0,0.0
58,Alabama,2020-03-20,AL,4887871.0,27.0,0.0
59,Alabama,2020-03-21,AL,4887871.0,34.0,0.0
60,Alabama,2020-03-22,AL,4887871.0,31.0,0.0
61,Alabama,2020-03-23,AL,4887871.0,44.0,0.0
62,Alabama,2020-03-24,AL,4887871.0,74.0,0.0
63,Alabama,2020-03-25,AL,4887871.0,174.0,1.0
64,Alabama,2020-03-26,AL,4887871.0,102.0,0.0
65,Alabama,2020-03-27,AL,4887871.0,110.0,3.0
66,Alabama,2020-03-28,AL,4887871.0,117.0,0.0
67,Alabama,2020-03-29,AL,4887871.0,79.0,6.0
68,Alabama,2020-03-30,AL,4887871.0,121.0,0.0
69,Alabama,2020-03-31,AL,4887871.0,62.0,13.0
70,Alabama,2020-04-01,AL,4887871.0,112.0,4.0
71,Alabama,2020-04-02,AL,4887871.0,196.0,5.0
72,Alabama,2020-04-03,AL,4887871.0,235.0,6.0
73,Alabama,2020-04-04,AL,4887871.0,121.0,6.0
74,Alabama,2020-04-05,AL,4887871.0,178.0,1.0
75,Alabama,2020-04-06,AL,4887871.0,174.0,4.0
76,Alabama,2020-04-07,AL,4887871.0,229.0,15.0
77,Alabama,2020-04-08,AL,4887871.0,306.0,2.0
78,Alabama,2020-04-09,AL,4887871.0,340.0,4.0
79,Alabama,2020-04-10,AL,4887871.0,158.0,10.0
80,Alabama,2020-04-11,AL,4887871.0,234.0,12.0
81,Alabama,2020-04-12,AL,4887871.0,321.0,1.0
82,Alabama,2020-04-13,AL,4887871.0,203.0,6.0
83,Alabama,2020-04-14,AL,4887871.0,171.0,15.0
84,Alabama,2020-04-15,AL,4887871.0,266.0,4.0
85,Alabama,2020-04-16,AL,4887871.0,158.0,15.0
86,Alabama,2020-04-17,AL,4887871.0,92.0,15.0
87,Alabama,2020-04-18,AL,4887871.0,231.0,5.0
88,Alabama,2020-04-19,AL,4887871.0,190.0,4.0
89,Alabama,2020-04-20,AL,4887871.0,185.0,6.0
90,Alabama,2020-04-21,AL,4887871.0,241.0,20.0
91,Alabama,2020-04-22,AL,4887871.0,288.0,13.0
92,Alabama,2020-04-23,AL,4887871.0,207.0,6.0
93,Alabama,2020-04-24,AL,4887871.0,193.0,7.0
94,Alabama,2020-04-25,AL,4887871.0,182.0,0.0
95,Alabama,2020-04-26,AL,4887871.0,201.0,10.0
96,Alabama,2020-04-27,AL,4887871.0,146.0,9.0
97,Alabama,2020-04-28,AL,4887871.0,199.0,14.0
98,Alabama,2020-04-29,AL,4887871.0,159.0,14.0
99,Alabama,2020-04-30,AL,4887871.0,208.0,16.0
100,Alabama,2020-05-01,AL,4887871.0,253.0,17.0
101,Alabama,2020-05-02,AL,4887871.0,260.0,-1.0
102,Alabama,2020-05-03,AL,4887871.0,277.0,2.0
103,Alabama,2020-05-04,AL,4887871.0,226.0,8.0
104,Alabama,2020-05-05,AL,4887871.0,317.0,17.0
105,Alabama,2020-05-06,AL,4887871.0,249.0,28.0
