state,deaths,cases,population
Alabama,427.0,38841.0,4887871.0
Colorado,106.0,13112.0,5695564.0
Connecticut,1687.0,14501.0,3572665.0
Illinois,3035.0,67342.0,12741080.0
Iowa,0.0,0.0,3156145.0
Iowa,238.0,24108.0,3156145.0
Kansas,125.0,3979.0,2911510.0
Kentucky,198.0,18245.0,4468402.0
Louisiana,408.0,19191.0,4659978.0
Maryland,303.0,20787.0,6042718.0
Michigan,1740.0,19233.0,9995915.0
Minnesota,0.0,0.0,5611179.0
Minnesota,0.0,0.0,5611179.0
Montana,135.0,10446.0,1062305.0
Nebraska,81.0,11277.0,1929268.0
New Mexico,141.0,4458.0,2095428.0
Oklahoma,406.0,74983.0,3943079.0
Oregon,238.0,17408.0,4190713.0
Pennsylvania,558.0,25648.0,12807060.0
Puerto Rico,84.0,710.0,3195153.0
South Dakota,202.0,23603.0,882235.0
Texas,4600.0,276502.0,28701845.0
Virginia,406.0,30706.0,8517685.0
Washington,232.0,22979.0,7535591.0
Wyoming,7.0,450.0,577737.0
Alabama,0.0,0.0,4887871.0
Alabama,358.0,28272.0,4887871.0
Alaska,3.0,129.0,737438.0
Arizona,660.0,80871.0,7171646.0
Arkansas,72.0,3972.0,3013825.0
Colorado,668.0,11094.0,5695564.0
Delaware,10.0,319.0,967171.0
Florida,4344.0,153085.0,21299325.0
Georgia,1473.0,110773.0,10519475.0
Hawaii,83.0,2687.0,1420491.0
Illinois,2256.0,46924.0,12741080.0
Iowa,7.0,497.0,3156145.0
Louisiana,239.0,5237.0,4659978.0
Louisiana,561.0,18564.0,4659978.0
Michigan,0.0,0.0,9995915.0
Michigan,1631.0,76217.0,9995915.0
Missouri,968.0,59277.0,6126452.0
Nebraska,0.0,0.0,1929268.0
Nebraska,347.0,19281.0,1929268.0
New Jersey,8371.0,99956.0,8908520.0
North Carolina,531.0,18394.0,10383620.0
North Carolina,535.0,65264.0,10383620.0
North Dakota,3.0,122.0,760077.0
Oklahoma,259.0,22246.0,3943079.0
Oregon,223.0,30510.0,4190713.0
Pennsylvania,471.0,25304.0,12807060.0
Puerto Rico,227.0,8524.0,3195153.0
South Dakota,45.0,2544.0,882235.0
Tennessee,240.0,20943.0,6770010.0
Texas,901.0,35925.0,28701845.0
Texas,5472.0,196325.0,28701845.0
Vermont,0.0,427.0,626299.0
Wisconsin,937.0,115595.0,5813568.0
Arkansas,183.0,21734.0,3013825.0
Colorado,234.0,36814.0,5695564.0
Colorado,752.0,125555.0,5695564.0
Connecticut,69.0,3128.0,3572665.0
Connecticut,33.0,3069.0,3572665.0
Delaware,20.0,2641.0,967171.0
Florida,85.0,6741.0,21299325.0
Georgia,0.0,0.0,10519475.0
Hawaii,1.0,34.0,1420491.0
Hawaii,1.0,265.0,1420491.0
Illinois,681.0,58996.0,12741080.0
Indiana,1020.0,16739.0,6691878.0
Kentucky,170.0,14527.0,4468402.0
Maine,48.0,792.0,1338404.0
Michigan,0.0,0.0,9995915.0
Michigan,257.0,19846.0,9995915.0
Missouri,246.0,28804.0,6126452.0
Montana,11.0,255.0,1062305.0
Nebraska,174.0,25168.0,1929268.0
Nevada,26.0,1114.0,3034392.0
Nevada,295.0,10752.0,3034392.0
New Hampshire,17.0,692.0,1356458.0
New Mexico,345.0,21263.0,2095428.0
North Dakota,0.0,0.0,760077.0
North Dakota,16.0,945.0,760077.0
North Dakota,219.0,8338.0,760077.0
Ohio,626.0,39370.0,11689442.0
Oregon,0.0,0.0,4190713.0
Oregon,85.0,1820.0,4190713.0
Rhode Island,0.0,0.0,1057315.0
Rhode Island,47.0,2799.0,1057315.0
South Carolina,22.0,1083.0,5084127.0
South Carolina,658.0,28950.0,5084127.0
Texas,819.0,24939.0,28701845.0
Utah,267.0,81050.0,3161105.0
Virginia,27.0,1249.0,8517685.0
Wisconsin,163.0,24281.0,5813568.0
Wyoming,6.0,1239.0,577737.0
Alaska,0.0,0.0,737438.0
Alaska,9.0,2574.0,737438.0
California,0.0,9.0,39557045.0
Delaware,31.0,3184.0,967171.0
Delaware,43.0,9222.0,967171.0
District of Columbia,20.0,1334.0,702455.0
Florida,1183.0,26949.0,21299325.0
Florida,1183.0,22473.0,21299325.0
Georgia,111.0,3929.0,10519475.0
Idaho,52.0,1469.0,1754208.0
Idaho,300.0,37090.0,1754208.0
Illinois,2246.0,115384.0,12741080.0
Indiana,0.0,0.0,6691878.0
Indiana,1065.0,15677.0,6691878.0
Kansas,0.0,0.0,2911510.0
Kentucky,191.0,4996.0,4468402.0
Kentucky,134.0,5920.0,4468402.0
Louisiana,0.0,0.0,4659978.0
Massachusetts,555.0,7396.0,6902149.0
Mississippi,0.0,0.0,2986530.0
Montana,1.0,62.0,1062305.0
Nevada,217.0,3939.0,3034392.0
North Carolina,883.0,89877.0,10383620.0
North Dakota,24.0,2893.0,760077.0
North Dakota,409.0,35336.0,760077.0
Ohio,708.0,16276.0,11689442.0
Ohio,665.0,30832.0,11689442.0
Oklahoma,154.0,22730.0,3943079.0
Pennsylvania,452.0,22008.0,12807060.0
Vermont,0.0,0.0,626299.0
Vermont,1.0,210.0,626299.0
Vermont,0.0,128.0,626299.0
Virginia,408.0,56645.0,8517685.0
West Virginia,23.0,3674.0,1805832.0
Alaska,0.0,0.0,737438.0
Alaska,4.0,658.0,737438.0
Arizona,1335.0,27825.0,7171646.0
Arkansas,0.0,0.0,3013825.0
District of Columbia,85.0,1526.0,702455.0
District of Columbia,34.0,4286.0,702455.0
Florida,1054.0,96271.0,21299325.0
Georgia,623.0,66477.0,10519475.0
Idaho,160.0,22560.0,1754208.0
Illinois,99.0,5992.0,12741080.0
Illinois,543.0,56609.0,12741080.0
Indiana,49.0,2158.0,6691878.0
Iowa,0.0,0.0,3156145.0
Kansas,512.0,28545.0,2911510.0
Massachusetts,1208.0,7180.0,6902149.0
Missouri,824.0,120214.0,6126452.0
New York,605.0,21560.0,19542209.0
Oklahoma,23.0,568.0,3943079.0
Pennsylvania,63.0,4963.0,12807060.0
Pennsylvania,1094.0,15010.0,12807060.0
Puerto Rico,66.0,4304.0,3195153.0
South Carolina,446.0,40875.0,5084127.0
Tennessee,456.0,62450.0,6770010.0
Tennessee,899.0,64533.0,6770010.0
Texas,2438.0,163567.0,28701845.0
Utah,103.0,11911.0,3161105.0
Utah,167.0,36115.0,3161105.0
Vermont,11.0,1993.0,626299.0
Virginia,388.0,18180.0,8517685.0
West Virginia,1.0,162.0,1805832.0
West Virginia,40.0,963.0,1805832.0
Wisconsin,314.0,5442.0,5813568.0
Wyoming,0.0,0.0,577737.0
Alabama,249.0,6124.0,4887871.0
Alabama,611.0,55911.0,4887871.0
Arizona,0.0,1.0,7171646.0
Colorado,0.0,0.0,5695564.0
Colorado,0.0,0.0,5695564.0
Connecticut,0.0,0.0,3572665.0
Connecticut,2188.0,24572.0,3572665.0
District of Columbia,33.0,3091.0,702455.0
Hawaii,0.0,0.0,1420491.0
Hawaii,0.0,0.0,1420491.0
Idaho,8.0,515.0,1754208.0
Iowa,373.0,12407.0,3156145.0
Iowa,181.0,9522.0,3156145.0
Kansas,0.0,0.0,2911510.0
Kansas,9.0,434.0,2911510.0
Kentucky,423.0,71822.0,4468402.0
Louisiana,886.0,11915.0,4659978.0
Maryland,658.0,14781.0,6042718.0
Maryland,198.0,20556.0,6042718.0
Massachusetts,559.0,59593.0,6902149.0
Mississippi,339.0,11724.0,2986530.0
Mississippi,590.0,31500.0,2986530.0
Mississippi,810.0,24203.0,2986530.0
Missouri,424.0,6406.0,6126452.0
Missouri,741.0,44182.0,6126452.0
Nebraska,366.0,57675.0,1929268.0
Nevada,0.0,0.0,3034392.0
New Hampshire,3.0,357.0,1356458.0
New Hampshire,173.0,2505.0,1356458.0
North Carolina,846.0,64003.0,10383620.0
North Dakota,18.0,999.0,760077.0
Rhode Island,87.0,8126.0,1057315.0
South Carolina,304.0,31311.0,5084127.0
Tennessee,0.0,0.0,6770010.0
Utah,5.0,888.0,3161105.0
Utah,41.0,3784.0,3161105.0
Utah,59.0,12420.0,3161105.0
Utah,132.0,17979.0,3161105.0
Virginia,0.0,0.0,8517685.0
Washington,224.0,5425.0,7535591.0
Washington,408.0,57518.0,7535591.0
West Virginia,140.0,5601.0,1805832.0
Wyoming,0.0,109.0,577737.0
Alabama,524.0,43317.0,4887871.0
Arizona,25.0,1288.0,7171646.0
Arizona,738.0,59292.0,7171646.0
California,2863.0,106640.0,39557045.0
Florida,0.0,0.0,21299325.0
Georgia,1881.0,84119.0,10519475.0
Idaho,96.0,14599.0,1754208.0
Indiana,325.0,20560.0,6691878.0
