,code,state,date,total_population,cases,deaths
0,AL,Alabama,2020-01-22,4887871.0,0,0
1,AL,Alabama,2020-01-25,4887871.0,0,0
2,AL,Alabama,2020-01-26,4887871.0,0,0
3,AL,Alabama,2020-01-27,4887871.0,0,0
4,AL,Alabama,2020-01-28,4887871.0,0,0
5,AL,Alabama,2020-01-23,4887871.0,0,0
6,AL,Alabama,2020-01-24,4887871.0,0,0
7,AL,Alabama,2020-01-29,4887871.0,0,0
8,AL,Alabama,2020-01-30,4887871.0,0,0
9,AL,Alabama,2020-01-31,4887871.0,0,0
10,AL,Alabama,2020-02-01,4887871.0,0,0
11,AL,Alabama,2020-02-02,4887871.0,0,0
12,AL,Alabama,2020-02-03,4887871.0,0,0
13,AL,Alabama,2020-02-04,4887871.0,0,0
14,AL,Alabama,2020-02-05,4887871.0,0,0
15,AL,Alabama,2020-02-22,4887871.0,0,0
16,AL,Alabama,2020-02-23,4887871.0,0,0
17,AL,Alabama,2020-02-24,4887871.0,0,0
18,AL,Alabama,2020-02-25,4887871.0,0,0
19,AL,Alabama,2020-02-26,4887871.0,0,0
20,AL,Alabama,2020-02-27,4887871.0,0,0
21,AL,Alabama,2020-02-28,4887871.0,0,0
22,AL,Alabama,2020-02-29,4887871.0,0,0
23,AL,Alabama,2020-03-01,4887871.0,0,0
24,AL,Alabama,2020-03-02,4887871.0,0,0
25,AL,Alabama,2020-03-03,4887871.0,0,0
26,AL,Alabama,2020-03-04,4887871.0,0,0
27,AL,Alabama,2020-03-05,4887871.0,0,0
28,AL,Alabama,2020-03-06,4887871.0,0,0
29,AL,Alabama,2020-03-07,4887871.0,0,0
30,AL,Alabama,2020-03-08,4887871.0,0,0
31,AL,Alabama,2020-03-09,4887871.0,0,0
32,AL,Alabama,2020-03-10,4887871.0,0,0
33,AL,Alabama,2020-03-11,4887871.0,3,0
34,AL,Alabama,2020-03-12,4887871.0,4,0
35,AL,Alabama,2020-03-13,4887871.0,8,0
36,AL,Alabama,2020-03-14,4887871.0,15,0
37,AL,Alabama,2020-03-15,4887871.0,28,0
38,AL,Alabama,2020-03-16,4887871.0,36,0
39,AL,Alabama,2020-03-17,4887871.0,51,0
40,AL,Alabama,2020-03-18,4887871.0,61,0
41,AL,Alabama,2020-03-19,4887871.0,88,0
42,AL,Alabama,2020-03-20,4887871.0,115,0
43,AL,Alabama,2020-03-21,4887871.0,149,0
44,AL,Alabama,2020-03-22,4887871.0,180,0
45,AL,Alabama,2020-03-23,4887871.0,224,0
46,AL,Alabama,2020-03-24,4887871.0,298,0
47,AL,Alabama,2020-02-06,4887871.0,0,0
48,AL,Alabama,2020-02-07,4887871.0,0,0
49,AL,Alabama,2020-02-08,4887871.0,0,0
50,AL,Alabama,2020-02-09,4887871.0,0,0
51,AL,Alabama,2020-02-10,4887871.0,0,0
52,AL,Alabama,2020-02-11,4887871.0,0,0
53,AL,Alabama,2020-02-12,4887871.0,0,0
54,AL,Alabama,2020-02-13,4887871.0,0,0
55,AL,Alabama,2020-02-14,4887871.0,0,0
56,AL,Alabama,2020-02-15,4887871.0,0,0
