,month,state,deaths,cases
0,1,Alabama,0.0,0.0
1,2,Alabama,0.0,0.0
2,3,Alabama,23.0,1063.0
3,4,Alabama,249.0,6124.0
4,5,Alabama,358.0,11013.0
5,6,Alabama,320.0,20277.0
6,7,Alabama,630.0,49789.0
7,8,Alabama,602.0,38234.0
8,9,Alabama,358.0,28272.0
9,10,Alabama,427.0,38841.0
10,11,Alabama,611.0,55911.0
11,12,Alabama,508.0,39251.0
12,1,Alaska,0.0,0.0
13,2,Alaska,0.0,0.0
14,3,Alaska,3.0,129.0
15,4,Alaska,6.0,231.0
16,5,Alaska,1.0,124.0
17,6,Alaska,4.0,658.0
18,7,Alaska,9.0,2574.0
19,8,Alaska,14.0,2457.0
20,9,Alaska,19.0,2672.0
21,10,Alaska,26.0,7510.0
22,11,Alaska,39.0,16221.0
23,12,Alaska,37.0,7399.0
24,1,American Samoa,0.0,0.0
25,2,American Samoa,0.0,0.0
26,3,American Samoa,0.0,0.0
27,4,American Samoa,0.0,0.0
28,5,American Samoa,0.0,0.0
29,6,American Samoa,0.0,0.0
30,7,American Samoa,0.0,0.0
31,8,American Samoa,0.0,0.0
32,9,American Samoa,0.0,0.0
33,10,American Samoa,0.0,0.0
34,11,American Samoa,0.0,0.0
35,12,American Samoa,0.0,0.0
36,1,Arizona,0.0,1.0
37,2,Arizona,0.0,0.0
38,3,Arizona,25.0,1288.0
39,4,Arizona,295.0,6366.0
40,5,Arizona,587.0,12281.0
41,6,Arizona,738.0,59292.0
42,7,Arizona,2049.0,94782.0
43,8,Arizona,1335.0,27825.0
44,9,Arizona,621.0,16672.0
45,10,Arizona,329.0,27439.0
46,11,Arizona,660.0,80871.0
47,12,Arizona,606.0,67695.0
48,1,Arkansas,0.0,0.0
49,2,Arkansas,0.0,0.0
50,3,Arkansas,8.0,523.0
51,4,Arkansas,53.0,2758.0
52,5,Arkansas,72.0,3972.0
53,6,Arkansas,137.0,13524.0
54,7,Arkansas,183.0,21734.0
55,8,Arkansas,344.0,18713.0
56,9,Arkansas,572.0,22473.0
57,10,Arkansas,556.0,28493.0
58,11,Arkansas,577.0,45169.0
59,12,Arkansas,373.0,24265.0
60,1,California,0.0,3.0
61,2,California,0.0,9.0
62,3,California,173.0,8221.0
63,4,California,1858.0,41897.0
64,5,California,2141.0,61821.0
65,6,California,1910.0,119467.0
66,7,California,3132.0,269138.0
67,8,California,3808.0,211919.0
68,9,California,2863.0,106640.0
69,10,California,1774.0,113028.0
70,11,California,1514.0,298121.0
71,12,California,1614.0,285951.0
72,1,Colorado,0.0,0.0
73,2,Colorado,0.0,0.0
74,3,Colorado,69.0,2966.0
75,4,Colorado,708.0,12318.0
76,5,Colorado,668.0,11094.0
77,6,Colorado,245.0,6337.0
78,7,Colorado,148.0,14094.0
79,8,Colorado,107.0,10615.0
80,9,Colorado,106.0,13112.0
81,10,Colorado,234.0,36814.0
82,11,Colorado,752.0,125555.0
83,12,Colorado,809.0,48768.0
84,1,Connecticut,0.0,0.0
85,2,Connecticut,0.0,0.0
86,3,Connecticut,69.0,3128.0
87,4,Connecticut,2188.0,24572.0
88,5,Connecticut,1687.0,14501.0
89,6,Connecticut,378.0,4313.0
90,7,Connecticut,110.0,3296.0
91,8,Connecticut,33.0,3069.0
92,9,Connecticut,43.0,4671.0
93,10,Connecticut,108.0,13657.0
94,11,Connecticut,404.0,46088.0
95,12,Connecticut,343.0,29466.0
96,1,Delaware,0.0,0.0
97,2,Delaware,0.0,0.0
98,3,Delaware,10.0,319.0
99,4,Delaware,142.0,4415.0
100,5,Delaware,214.0,4764.0
