code,january,february,march,april,may,june,july,august,september,october,november,december
AL,0,0,808,8403,12586,23313,68368,156848,222916,370781,725014,324474
AK,0,0,6735,127476,377501,812738,1938938,3358162,4214797,5351525,6594967,2400833
AZ,0,0,3721,52677,150164,402154,972505,1633912,2167050,3025302,4031431,1515602
AR,6,28,6783,128753,417640,1294975,4103132,5950207,6319715,7141160,8435286,3226417
CA,13,214,52066,855826,2464514,4892100,11303115,19105700,23103136,27082363,31656885,12067906
CO,0,0,18579,264414,662304,886864,1213687,1636988,1896041,2637741,5023534,2301394
CT,0,0,14573,466219,1124193,1348657,1483675,1585462,1651324,1961272,2784124,1164152
DE,0,0,2878,70954,215106,291828,345436,407811,441242,503613,575533,204941
DC,0,0,1844,67466,229083,312601,410198,503506,572135,706558,883967,352471
FL,0,0,33497,668452,1396266,2637866,9746886,17470128,20108587,23278925,26828872,9425192
GA,0,0,21050,465883,1157327,1822772,4114740,7260641,8926776,10489420,12809840,4478388
HI,0,0,1320,14957,19741,22662,41972,157592,328183,434994,504871,168232
ID,0,0,2766,83617,439993,729137,1151285,1650679,2312022,3288522,5540180,2181770
IL,0,0,2132,44534,74576,115391,408987,843404,1095109,1624120,2496748,985076
IN,9,56,33001,802339,2817238,3992626,4964947,6454930,8037477,10690588,17311582,6997515
IA,0,0,10086,289747,838266,1210849,1703054,2488354,3224126,4512410,7676680,3357096
KS,0,0,2384,56193,238563,349925,648421,1068251,1547051,2268911,3696656,1540881
KY,0,0,3412,73553,230298,384473,678552,1218174,1760913,2676418,4224498,1770809
LA,0,0,28834,625159,1058228,1432634,2693146,4225383,4777864,5504935,6222999,2234242
ME,3,51,66502,1126995,2661548,3047913,3342964,3608342,3778922,4449113,5713002,2251787
MD,0,0,8723,326346,1183128,1848484,2374558,3086997,3518380,4172581,5073482,1906434
MA,0,0,2086,22293,52159,84059,112032,129951,148340,183325,274047,118340
MI,0,0,41117,852025,1676993,1998577,2479119,3160703,3762272,5003610,8622873,3810496
MN,0,0,4439,65127,469276,924504,1387465,2018898,2607218,3739159,6849584,3097605
MS,0,0,7249,152187,341566,515926,1017454,2104426,3225031,4804662,7403921,2919049
MO,0,0,5779,109721,344106,613191,1278358,2235453,2734173,3374433,4059206,1465012
MT,0,0,1129,11461,14580,19785,70538,176785,292908,682761,1436108,602117
NE,0,0,10039,179801,595911,1424785,2990075,4641104,5804386,7494798,9488482,3496217
NV,0,0,768,14774,57772,93160,149539,273070,496621,969188,1904848,741162
NH,0,0,1158,43377,304274,508283,691057,939365,1186691,1761850,3001791,1239807
NJ,0,0,2040,36047,108945,159718,190988,215951,233029,296776,458513,219757
NM,0,0,92434,2186712,4472746,5010185,5468162,5802350,5941234,6799466,8491353,3255899
NY,0,0,1847,48579,177805,298313,504135,722003,815678,1131556,2072560,955967
NC,0,0,6328,97567,212955,365159,1011773,1875155,2234546,2771863,3704416,1487778
ND,0,0,459033,6248793,10693291,11513492,12544553,13182876,13394157,14940758,17021399,6249569
OH,0,0,12091,287175,847463,1279995,2204114,3343490,4190394,5591170,9233749,4228716
OK,0,0,3054,67773,160426,277700,738401,1492788,2178611,3263613,4705959,1906545
OR,0,0,4611,50088,108477,183433,420150,713297,899723,1207441,1750277,744440
PA,0,0,24412,821303,1990031,2513863,3209000,3984398,4543737,5750738,8389314,3714613
RI,0,0,2566,118406,381262,481310,549884,635058,698781,871329,1314015,565228
SC,0,0,6262,112934,269996,635285,1978230,3278566,4017202,5027463,5897776,2061207
SD,0,0,704,36228,118918,177960,240095,326657,529111,1007707,1938994,763717
TN,0,0,13685,190736,538199,959048,2257045,4105110,5291120,7024722,9404101,3589888
TX,0,0,21333,488992,1447087,3044787,9396662,17053455,21137225,26477281,32572149,11778412
UT,0,0,5370,81945,221285,461201,984909,1442519,1829235,2870716,4661343,1904176
VT,0,0,6847,223912,926151,1644315,2330822,3291423,4069642,5085677,6195771,2269380
VA,0,0,1839,21165,29030,33550,41004,46881,50777,60075,91482,43559
WA,10,28,45411,325296,561785,802333,1377986,2069838,2427809,3007817,3977949,1599119
WV,0,0,9404,118808,383868,699650,1245160,2022736,2855768,5358588,9931424,3918599
WI,0,0,760,21077,47180,71763,144666,262659,394692,609146,1046823,482139
WY,0,0,716,9826,22805,33714,63972,102415,140060,279238,698302,323730
