code,january,february,march,april,may,june,july,august,september,october,november,december
AL,0.0,0.0,3.0,6.0,1.0,4.0,9.0,14.0,19.0,26.0,39.0,37.0
AK,0.0,0.0,23.0,249.0,358.0,320.0,630.0,602.0,358.0,427.0,611.0,508.0
AZ,0.0,0.0,8.0,53.0,72.0,137.0,183.0,344.0,572.0,556.0,577.0,373.0
AR,0.0,0.0,25.0,295.0,587.0,738.0,2049.0,1335.0,621.0,329.0,660.0,606.0
CA,0.0,0.0,173.0,1858.0,2141.0,1910.0,3132.0,3808.0,2863.0,1774.0,1514.0,1614.0
CO,0.0,0.0,69.0,708.0,668.0,245.0,148.0,107.0,106.0,234.0,752.0,809.0
CT,0.0,0.0,69.0,2188.0,1687.0,378.0,110.0,33.0,43.0,108.0,404.0,343.0
DE,0.0,0.0,9.0,215.0,242.0,85.0,34.0,22.0,20.0,19.0,34.0,29.0
DC,0.0,0.0,10.0,142.0,214.0,143.0,76.0,20.0,31.0,72.0,64.0,35.0
FL,0.0,0.0,85.0,1183.0,1183.0,1054.0,3338.0,4344.0,3130.0,2444.0,1836.0,1117.0
GA,0.0,0.0,111.0,1021.0,921.0,752.0,947.0,1881.0,1388.0,958.0,1473.0,579.0
HI,0.0,0.0,0.0,16.0,1.0,1.0,8.0,44.0,66.0,83.0,25.0,25.0
ID,0.0,0.0,7.0,155.0,373.0,181.0,156.0,248.0,238.0,358.0,710.0,767.0
IL,0.0,0.0,8.0,52.0,22.0,10.0,96.0,173.0,108.0,160.0,300.0,222.0
IN,0.0,0.0,99.0,2256.0,3035.0,1533.0,769.0,543.0,681.0,1124.0,2945.0,2082.0
IA,0.0,0.0,49.0,1065.0,1020.0,506.0,325.0,331.0,336.0,700.0,1391.0,950.0
KS,0.0,0.0,9.0,125.0,81.0,58.0,85.0,93.0,227.0,351.0,531.0,512.0
KY,0.0,0.0,11.0,229.0,191.0,134.0,170.0,198.0,241.0,311.0,423.0,260.0
LA,0.0,0.0,239.0,1666.0,886.0,430.0,728.0,1001.0,561.0,408.0,501.0,347.0
ME,0.0,0.0,89.0,3473.0,3284.0,1208.0,555.0,451.0,396.0,535.0,757.0,509.0
MD,0.0,0.0,18.0,1122.0,1392.0,658.0,303.0,262.0,194.0,198.0,494.0,423.0
MA,0.0,0.0,5.0,48.0,36.0,16.0,18.0,9.0,9.0,6.0,47.0,56.0
MI,0.0,0.0,292.0,3699.0,1740.0,462.0,257.0,303.0,330.0,616.0,1865.0,1401.0
MN,0.0,0.0,12.0,331.0,707.0,426.0,164.0,226.0,223.0,422.0,1141.0,699.0
MS,0.0,0.0,19.0,424.0,371.0,205.0,246.0,282.0,522.0,968.0,824.0,690.0
MO,0.0,0.0,20.0,241.0,473.0,339.0,590.0,810.0,496.0,365.0,473.0,317.0
MT,0.0,0.0,5.0,11.0,1.0,5.0,38.0,44.0,76.0,195.0,306.0,124.0
NE,0.0,0.0,12.0,394.0,531.0,443.0,562.0,760.0,830.0,846.0,883.0,491.0
NV,0.0,0.0,3.0,16.0,42.0,18.0,24.0,40.0,103.0,278.0,409.0,197.0
NH,0.0,0.0,3.0,67.0,100.0,104.0,58.0,65.0,81.0,174.0,366.0,325.0
NJ,0.0,0.0,3.0,69.0,173.0,126.0,44.0,17.0,7.0,44.0,43.0,64.0
NM,0.0,0.0,366.0,8371.0,4781.0,1517.0,784.0,126.0,177.0,228.0,643.0,669.0
NY,0.0,0.0,4.0,119.0,233.0,141.0,145.0,137.0,98.0,141.0,550.0,321.0
NC,0.0,0.0,26.0,217.0,174.0,90.0,323.0,475.0,295.0,177.0,367.0,335.0
ND,0.0,0.0,2775.0,21767.0,6157.0,1371.0,605.0,282.0,367.0,406.0,875.0,752.0
OH,0.0,0.0,55.0,921.0,1179.0,708.0,626.0,650.0,665.0,497.0,1128.0,997.0
OK,0.0,0.0,23.0,199.0,112.0,53.0,154.0,259.0,231.0,306.0,406.0,264.0
OR,0.0,0.0,18.0,85.0,50.0,54.0,115.0,137.0,100.0,130.0,223.0,226.0
PA,0.0,0.0,63.0,2412.0,3080.0,1094.0,558.0,452.0,471.0,670.0,1535.0,1848.0
RI,0.0,0.0,11.0,353.0,461.0,155.0,40.0,47.0,47.0,87.0,172.0,136.0
SC,0.0,0.0,22.0,222.0,250.0,245.0,973.0,1008.0,658.0,557.0,446.0,292.0
SD,0.0,0.0,1.0,16.0,45.0,29.0,39.0,37.0,56.0,202.0,521.0,264.0
TN,0.0,0.0,23.0,176.0,165.0,240.0,456.0,694.0,700.0,899.0,1249.0,725.0
TX,0.0,0.0,70.0,819.0,901.0,921.0,4600.0,5472.0,3242.0,2438.0,3433.0,2247.0
UT,0.0,0.0,5.0,41.0,67.0,59.0,132.0,103.0,52.0,145.0,267.0,154.0
VT,0.0,0.0,27.0,525.0,823.0,388.0,411.0,406.0,628.0,446.0,408.0,308.0
VA,0.0,0.0,13.0,36.0,6.0,1.0,1.0,1.0,0.0,0.0,11.0,24.0
WA,0.0,0.0,224.0,589.0,304.0,214.0,232.0,351.0,211.0,240.0,408.0,105.0
WV,0.0,0.0,43.0,314.0,293.0,165.0,163.0,208.0,216.0,937.0,1155.0,772.0
WI,0.0,0.0,1.0,40.0,34.0,18.0,23.0,99.0,140.0,104.0,276.0,203.0
WY,0.0,0.0,0.0,7.0,9.0,4.0,6.0,11.0,13.0,37.0,128.0,106.0
